Read Scene- bedroom000005
plant-ceiling_lamp = 5.1674941527205/183.0683210007469
plant-rug = 14.404984705539638/123.85767617915326
plant-clock = 3.2981633352483715/110.66283494499179
plant-wall_lamp = 3.524429666570007/117.31879725671628
plant-mattress = 8.497498493928061/77.02670147275228
plant-pillow = 4.190700875375562/85.30490167880153
plant-nightstand = 2.8090555067640337/27.49419700591381
plant-telephone = 3.9660951446630244/112.35066153727131
plant-door = 2.5013913671861148/88.70171314720959
plant-wall_lamp = 3.5186954897676/28.618040619030825
plant-ceiling_lamp = 8.190704027858667/124.86614367810033
plant-ceiling_lamp = 5.167505490651508/92.97853453620357
plant-pillow = 4.134449998818586/57.31162543989219
plant-ceiling_lamp = 5.167510110938873/141.0403210031532
plant-painting = 2.3337940690783623/34.302113062317304
plant-painting = 2.5849472118700723/35.75811192638672
plant-nightstand = 2.8239198173609927/118.06961464919752
plant-ceiling_lamp = 5.167491394314763/149.22012561936813
plant-door = 2.4875502278097645/168.89676851630404
plant-closet = 3.3184272797815666/126.27532785806773
plant-pillow = 4.166796133225452/59.56396610510417
plant-pillow = 4.220610388464414/82.12639822173499
plant-painting = 2.5896464580359115/61.853304718018094
plant-bed_frame = 5.2640824236367205/76.22978185599513
ceiling_lamp-plant = 5.1674941527205/183.0683210007469
ceiling_lamp-rug = 13.856311460930117/126.08123905356605
ceiling_lamp-clock = 4.074305137659816/159.82240587988596
ceiling_lamp-wall_lamp = 3.4284141470381404/152.42617559922246
ceiling_lamp-mattress = 8.207926505841124/140.91688742308355
ceiling_lamp-pillow = 4.341560004488683/159.61154269084835
ceiling_lamp-nightstand = 4.601981187933187/183.30421275473324
ceiling_lamp-telephone = 4.4147227510989016/159.73048485225044
ceiling_lamp-door = 4.847359648999301/146.1520513912934
ceiling_lamp-wall_lamp = 3.426533329138991/175.49374214827435
ceiling_lamp-ceiling_lamp = 5.199006324305019/72.17931489653046
ceiling_lamp-ceiling_lamp = 1.8961735152677543E-4/141.33963558847356
ceiling_lamp-pillow = 4.315943948090862/166.0827021214732
ceiling_lamp-ceiling_lamp = 1.7922259902148268E-4/112.7354
ceiling_lamp-painting = 4.938670027502331/163.7024338885116
ceiling_lamp-painting = 4.686018637268316/177.82710932426053
ceiling_lamp-nightstand = 4.602864317963864/162.38078559180735
ceiling_lamp-ceiling_lamp = 2.0952565475344605E-5/85.25035
ceiling_lamp-door = 4.8258354659736975/80.02871906936
ceiling_lamp-closet = 4.85146376891106/106.62770682299232
ceiling_lamp-pillow = 4.352278038863741/159.3985749130854
ceiling_lamp-pillow = 4.374478895119977/154.02796937661194
ceiling_lamp-painting = 4.679223765891018/145.3786125818461
ceiling_lamp-bed_frame = 5.946262139806788/140.4086066943403
rug-plant = 14.404984705539638/123.85767617915326
rug-ceiling_lamp = 13.856311460930117/126.08123905356605
rug-clock = 13.681828779654124/92.1950558802504
rug-wall_lamp = 12.970940391135263/96.74390094503369
rug-mattress = 6.685105577467735/52.394427735423314
rug-pillow = 12.228389752726633/86.4258941367111
rug-nightstand = 13.478397314706347/112.13086616761683
rug-telephone = 12.257906456664333/83.78347752010833
rug-door = 14.82192983759807/118.03897167990564
rug-wall_lamp = 12.973755809205747/121.07762999940364
rug-ceiling_lamp = 9.260671723342229/120.61604858782255
rug-ceiling_lamp = 13.856311263029623/154.35874948962228
rug-pillow = 12.243786865657887/94.37565161000211
rug-ceiling_lamp = 13.856291560877306/136.3253804693846
rug-painting = 15.261476139875498/126.67500225671988
rug-painting = 15.337337058071277/144.46417770762406
rug-nightstand = 13.46560792529307/87.02963457472401
rug-ceiling_lamp = 13.856313033757424/145.39082854554468
rug-door = 14.791692742193371/76.5319497677275
rug-closet = 14.266377063813325/89.94852985575966
rug-pillow = 12.255502133612817/85.30049575805522
rug-pillow = 12.240590025814834/78.28909516736668
rug-painting = 15.335538017193803/123.86757684212597
rug-bed_frame = 10.806854771221746/54.44228240818297
clock-plant = 3.2981633352483715/110.66283494499179
clock-ceiling_lamp = 4.074305137659816/159.82240587988596
clock-rug = 13.681828779654124/92.1950558802504
clock-wall_lamp = 1.1342571881227248/14.000632517854326
clock-mattress = 7.6129080697745/61.1122918812165
clock-pillow = 1.823432089294049/25.74254581820726
clock-nightstand = 1.1997939030577545/87.20363887110732
clock-telephone = 1.6454991789940676/11.394520307586442
clock-door = 3.191842401574236/159.73753899291285
clock-wall_lamp = 1.1340676249267987/88.7470354824881
clock-ceiling_lamp = 7.105203819660142/123.30924912545083
clock-ceiling_lamp = 4.074295912975096/126.52238026990521
clock-pillow = 1.7848659565984921/53.69208443034224
clock-ceiling_lamp = 4.074302946240936/92.51793511030715
clock-painting = 3.724553441753049/126.47313297895525
clock-painting = 3.8857182517915425/123.53288837193315
clock-nightstand = 1.2027715763747329/13.125096614215835
clock-ceiling_lamp = 4.074305741985411/181.6357503723386
clock-door = 3.107036349479151/153.12051385595754
clock-closet = 3.3624005692904757/156.39031899368004
clock-pillow = 1.7527444120362161/52.42712431721293
